,talentId,platformId,type,followers,Avg View Through Rate,Avg Engagement Rate
2700,3a267249-dbda-4c2d-ae5c-652b129e69a7,312904900,video,140511,8.59%,0.68%
2702,3a440d6f-3ce1-4569-81e3-443ed8629a46,243847270,video,137220,4.16%,0.69%
2705,3ac52d08-89f0-4518-a89a-e8e53e1bd614,1682849393,video,103482,2.91%,0.44%
2707,3b8bca1a-6fe9-4277-a9ba-8b3665484a06,236515387,video,212755,48.48%,6.07%
2709,3b8ca73c-f0cd-47cb-9c16-4a3528e2ff72,1283647416,video,256496,81.13%,8.61%
2711,3bb2d34b-1bc5-430d-bb87-5be78f61d44d,225076837,video,289650,5.99%,0.81%
2713,3bd9d8d9-8e39-4ec2-836b-7230bb6773be,4458911162,video,153761,43.38%,1.74%
2715,3be0bfb8-0414-442d-b096-95ecd7dfb66c,1009419857,video,112649,6.65%,1.16%
2717,3c1908d0-1b90-4257-9272-8f540046bd2e,260905208,video,188980,18.94%,0.66%
2719,3c191220-f133-4af8-894a-1e8fb077e49e,3586753811,video,140819,38.03%,5.16%
2721,3c261a07-7ef9-435f-a1ba-b8458232cc0f,213471126,video,247976,0.91%,0.18%
2723,3c37bc35-dc9f-4f61-9817-d2a105a6c498,143878930,video,298381,87.37%,4.63%
2726,3c7dd00b-4b86-4d53-8e58-30a8721b369b,50705799,video,118419,13.24%,1.06%
2728,3cc88c08-1e1f-4f9d-a176-cbdd7c7a6429,1424594912,video,172417,17.02%,2.61%
2731,3d9d33a6-baf7-4abd-ba8d-9c081128d5b3,353419910,video,198244,49.83%,2.38%
2733,3da2fbe0-a32b-41dd-9763-ea9b130283a4,24696638,video,203689,6.38%,0.07%
2735,3e3347c7-2cd0-4922-8c42-368a58f1f5c7,104981279,video,146031,4.20%,0.34%
2738,3f181a55-887f-4458-a67d-b80389a3b778,2241977525,video,226302,11.25%,1.06%
2740,3f7588c9-0cc0-4836-b468-e95d0ca41e77,196362315,video,158057,15.98%,3.71%
2742,3f8389cc-a6a8-4fb5-8ef3-0be2275533b8,143538488,video,134289,12.97%,2.59%
2744,3f9a39dc-c881-4814-8ef5-3049b435fdba,145821975,video,103347,1.88%,0.25%
2747,3ff162fa-0757-4091-8547-e023f911d24b,649459278,video,271704,14.14%,2.15%
2749,4067f6df-97d0-4302-8d31-1439c4f16004,306294029,video,266737,20.11%,2.14%
2750,40847a5f-921d-41bb-b529-518ee1d59ca7,2264374752,video,133976,70.11%,4.11%
2753,412fdfcd-2795-4b60-825c-2ff64f9ebf10,294496154,video,101916,2.99%,0.46%
2755,41375396-651d-441f-b6bd-fa6869e26952,201139861,video,245723,4.34%,1.31%
2757,4176b0a0-dd1b-43ae-a796-3ab931f4dea5,297696440,video,138436,20.54%,1.85%
2760,41c43aa5-4a44-46e0-a020-1e466da2092d,211577443,video,235329,7.00%,0.99%
2762,41d18a9d-5070-4980-8e9b-6c849e34d302,1497501781,video,282530,25.41%,0.88%
2764,435baec4-f115-4639-9f8e-b1c4f9bfd019,2055778231,video,158038,91.28%,12.59%
2766,439ef1b4-7ada-42c7-ad7e-a75922e07b17,339631033,video,143089,8.07%,0.49%
2768,43cce564-4602-403e-9caf-e8e1b156af5e,258281587,video,137464,19.77%,3.03%
2771,44059b04-d0e4-4920-b5fa-f3b4a1766d78,196026082,video,108314,9.19%,1.41%
2773,444935b2-9a84-4757-bb87-fd403cef42cc,21313849,video,227317,4.52%,0.55%
2775,4540f4a0-d3ea-4d72-9440-b234d806402d,1527288306,video,102908,1.93%,0.27%
2777,459be10e-1630-482e-b328-6a0044871843,374236528,video,271497,22.67%,0.42%
2779,45ddf3f6-a0f1-44c4-9af1-f7502bc45872,217028533,video,278473,49.78%,6.36%
2780,46114617-5873-4165-a90f-da88699f83ee,404093392,video,163902,8.52%,1.74%
2782,463d9706-c404-4e31-b1f8-5462e131e959,19025960,video,208123,8.46%,0.87%
2784,46962548-d6ed-4055-aa62-e8feb4690414,348993686,video,231685,20.83%,1.61%
2786,46a305f8-d583-473b-b020-4dd78f1e9188,5551458773,video,155892,9.56%,1.04%
2787,46bc1531-4a3d-41cc-ae6b-280826f746e2,551030707,video,258616,6.84%,1.04%
2789,46c1d262-4012-440b-9695-9873174253a7,285715416,video,200046,10.95%,1.46%
2791,473b9767-9b53-4b78-a501-ae5c4f14e02f,1400488721,video,137771,49.39%,2.39%
2793,47476692-0171-432f-a48c-677ffe4cc049,19436280,video,121532,3.52%,0.43%
2795,474c03d2-ba3f-4a8b-b140-36b00ffb0200,250478447,video,122514,36.09%,3.29%
2797,47940748-e2ba-4440-bf49-e7e3c5377303,191099343,video,196030,10.13%,0.95%
2799,47bd481f-33f3-4660-b183-892d553a7e9d,1274179671,video,127227,13.65%,0.79%
2801,4801d246-3a51-48fc-8c73-25090e90eb76,4022822056,video,296429,11.96%,1.50%
2803,48736185-18c5-4406-8dbb-361962665133,305674506,video,192605,15.68%,1.11%
2805,488db0d0-69c8-41b5-9d67-62e561c1b7b3,971551903,video,196667,11.22%,1.15%
2807,498004fa-eb51-4ffd-9c81-6691d2fa45a4,206747689,video,205524,0.11%,1.72%
2811,4b69f23c-2986-434d-a5e8-d527aa73dfc9,246137106,video,249609,8.26%,0.68%
2813,4b82754f-65c2-44a5-94d3-e853b6a32844,187980985,video,153894,16.45%,6.81%
2815,4c63447c-c362-4c8c-a402-23e9a9cf6832,291535969,video,100492,41.12%,0.65%
2818,4ceeb399-7ac7-454b-b858-e95070f09dbb,321312867,video,113597,45.20%,4.68%
2820,4cf3b27d-b61f-4a2b-8bb1-c04207f57fb1,1478812850,video,110887,18.98%,1.62%
2822,4d5456b7-4dd4-45d4-8037-70f73294511e,233634671,video,124952,37.01%,2.08%
2825,4e3cc51b-4d1d-42ad-97c6-5c032df0cb1a,4549598237,video,177377,104.43%,2.26%
2827,4e502797-0b87-46fa-a51a-ba71f25a567a,1210608583,video,107149,2.63%,0.46%
2829,4e613ee3-c9b6-42cc-ae23-dd4575dedbfb,1342955615,video,117442,15.88%,1.00%
2832,4fb8f46d-7275-4ed9-914c-314b5d800b47,3243135679,video,176844,25.61%,1.39%
2835,50afcda6-f185-4fd6-9c95-c0681a1b5103,850420083,video,229660,4.21%,0.90%
2837,50f0b38e-56b6-4938-b15f-6fd936392273,539764830,video,191301,40.90%,0.49%
2840,515b96a2-5c1c-4f3a-acf6-cd4e2fba2fd3,590941987,video,207980,1.35%,0.20%
2842,517152ef-fdf2-4544-8d91-d47912a09e5f,1119514422,video,257386,56.82%,9.01%
2844,51bdd25d-64b8-49d1-be26-f8a99440e737,242193128,video,225297,4.07%,0.33%
2846,51ea9490-815b-4d38-b1d3-f16215706055,3273440222,video,244424,41.19%,4.04%
2848,51eb7969-8927-4fd4-9b15-9f03a9c7f7a8,183783334,video,154602,1.38%,0.14%
2850,51f6e6a4-8d6d-4d02-85e9-120c2783242e,3132856502,video,222560,45.19%,3.34%
2852,525c74fb-7d35-4a1d-a52b-73f718056651,304920974,video,223762,11.32%,0.71%
2854,52a2e6a9-4dfa-4818-8e4f-cdab2f836f9f,483087912,video,110192,15.93%,1.60%
2856,52c17573-c761-4268-bdcb-f6456b6c3d64,543052506,video,111301,13.73%,2.58%
2857,52eef44f-d09a-4cec-90cb-2a70e915fa39,1401813449,video,205374,41.27%,0.61%
2859,53fe6db6-4070-4b03-8690-ff6de63af99a,180096213,video,168414,26.54%,3.56%
2862,5461cabb-c1e0-4716-a8c8-53f499f8d8f6,23978948,video,213907,31.48%,2.97%
2864,54a7f60a-750e-4cea-84e6-57e6e685c6e4,330535570,video,153217,74.03%,4.97%
2866,54c224ec-d15e-4647-9c68-b80cb1a63517,708154086,video,241741,47.39%,4.84%
2868,554a6a9b-f885-482d-83a4-d749b26a5256,985028713,video,131571,38.40%,3.83%
2870,559c9896-8129-4b1c-bace-c6d25e4a2402,398373267,video,199015,5.61%,0.68%
2872,5673cca3-151e-4c93-ad38-cf1522cbabea,6874041282,video,205174,47.38%,2.35%
2874,56d22476-67ea-4ae9-80f9-dcb1bb286230,1820480908,video,228428,16.25%,2.01%
2875,56d283b9-2934-423a-a636-bef54e82535d,612293936,video,247478,12.11%,2.02%
2877,57476a0d-9917-47ac-8114-e51ca0d383eb,1082047718,video,225121,20.28%,3.18%
2879,578ab2c9-b328-4853-8cb7-02281ea3c9c7,481206761,video,130009,2.10%,2.61%
2881,57971ff8-af58-4691-9398-89c2838d46a5,2041226696,video,267950,8.72%,1.31%
2884,585e640c-9009-4466-b495-bc8114251dcd,4204125,video,110886,19.31%,2.21%
2886,586f3704-a013-4126-a6bf-5f6735b6fa05,1459129836,video,236706,135.75%,21.02%
2888,58862562-7070-4a99-a6c7-15c154f0f25f,2294862298,video,295210,20.32%,4.29%
2890,5927f8fa-a0cb-4284-ba0e-903042b07c62,558625582,video,229345,67.09%,11.06%
2892,59d864ae-33bd-4b6f-a806-94a8680b5c13,970787245,video,111154,85.03%,3.98%
2894,5a82eaa7-1d44-4b25-89cd-46744bf9d4ff,1401449791,video,125241,18.48%,1.85%
2896,5ac1ee82-cde1-478a-b159-d22af5baf0c3,1054691316,video,186911,2.70%,0.43%
2898,5b0a866f-6f0f-408f-8448-de03bb2d37a8,361342588,video,127667,21.19%,5.15%
2902,5b85ef1e-f6d4-47a7-8690-7d4d1c0153dd,1480559303,video,164003,21.84%,5.33%
2904,5c641f32-805c-4031-9b70-264c63ab6891,211880663,video,134550,23.82%,2.40%
2906,5c7652aa-fe47-470e-ad60-a1b29121b7e5,1823029925,video,215931,48.55%,3.77%
2908,5ca825fe-bfe8-4cbb-a279-6d3ded531279,1947904767,video,198855,3.26%,0.30%
2910,5ea597bf-3b75-4942-9a77-ab23f42e82ca,267706540,video,112752,9.89%,1.39%
2912,5f0c2a43-2955-491a-b299-0e983ff6b67e,183845026,video,150266,24.03%,1.38%
2914,5fca59a4-a166-44f8-abb5-26b5a04f58bb,1049012861,video,120018,52.16%,3.63%
2916,5fea31dd-8f5f-414b-8f4a-29201daec341,646128085,video,150949,79.91%,3.08%
2918,6007a7c7-e4af-4a5b-bafc-16aacefd0cca,4161263841,video,290354,38.22%,5.82%
2920,60324a79-26f9-4ad4-b972-0d0cef242d25,44080036,video,104849,86.62%,5.82%
2922,60e53329-e6fb-4ba9-923c-dfcf1290fe86,590683178,video,250145,26.71%,3.62%
2924,61fba0f4-c463-49a7-a15c-286004085b8e,295019964,video,151890,22.75%,0.98%
2926,624645a9-a73f-459e-a1cd-2dc032ea7711,1089677698,video,170260,2.17%,2.85%
2928,62870b90-4d74-47e8-af4f-1e0ef063a4ce,724260941,video,281146,6.48%,0.51%
2931,63392efc-b27c-4a0e-bfb5-1ec8befc5ecd,409781132,video,271558,24.04%,3.27%
2933,63b13013-e67d-4e76-ad4e-beee226d00df,302332421,video,200341,19.73%,2.18%
2935,63ec9589-d73c-469d-bd40-6703a2e71ebe,15777702,video,299588,2.49%,0.24%
2937,63f0a19f-f210-4cc8-9602-5e03dbe5252b,294355476,video,199279,7.26%,0.86%
2939,649c3cda-e10f-4298-8fae-30d6f6c2f406,1938975296,video,114111,20.66%,3.67%
2941,6536c5d0-d0a8-4c55-9644-223a6e4bccd6,675971037,video,104371,3.26%,1.05%
2944,65bc2002-7b12-4ba7-ae2d-318932d3cbb7,231730961,video,254272,3.40%,0.49%
2946,664010a8-9de4-49b0-aa86-a7f83fe5a774,268414250,video,168906,41.32%,3.17%
2947,6678a84e-b466-4cff-8e4e-4ca07adac8c5,6008597975,video,129646,81.94%,6.10%
2949,668bd28b-3f89-42ad-bf67-eb5b6749b4f9,469848804,video,119077,1.99%,0.21%
2951,67263227-d68d-4783-ab7c-2a7fc1ba241d,1697553849,video,179521,8.69%,1.49%
2953,6779ba95-2ac4-4838-81b4-04dbd7a4d8b4,265762337,video,200341,8.11%,1.07%
2956,67b8111e-0b5c-4a2a-908e-5cb74eb72093,393661521,video,168414,2.20%,0.38%
2958,6801203d-9f77-41f6-bf03-a7a13c120cfb,239128271,video,145904,8.02%,1.25%
2960,6839a98d-ccda-4826-9b51-35db741ca8fa,597995327,video,129935,12.82%,2.26%
2962,68439d28-b837-4115-8794-e3695d271885,1561218604,video,276757,22.30%,4.53%
2964,6845d47d-f269-4ca1-85b4-4f175a5a8bb9,256462779,video,201429,24.35%,2.54%
2967,688865af-6d1e-440f-8897-9c112d5a8365,493359878,video,169360,2.22%,0.39%
2969,697bbaf9-9f29-463d-8733-139018c7cc4a,1385211089,video,117133,1.44%,0.18%
2971,69d9cad6-3ea6-43e5-ac4b-a96e200a75ad,392241993,video,182136,3.01%,1.36%
2973,69e1d909-db44-495f-889b-945f4d1df1ad,569777721,video,112800,16.12%,3.32%
2975,6a11f57a-f21e-46eb-babf-2c57174ee8c1,330990342,video,196581,41.40%,2.03%
2977,6a4a9d0f-547e-4556-b7af-d0bc4159ed25,367165048,video,203316,10.98%,1.41%
2979,6a766c06-8463-43a7-99fa-f437fac588f2,275194809,video,222730,0.53%,0.09%
2981,6abba7bf-9c97-43ce-bf17-eca6f064023e,847206695,video,250765,4.74%,0.38%
2983,6b024301-4ddd-4367-9830-92e1998eff6c,635069042,video,149212,6.09%,1.28%
2985,6b8703f1-a45b-464d-80b1-52a08a2bb9fa,1607678772,video,166652,2.79%,0.41%
2988,6c35ede5-a355-44e0-80a7-0c951c17ae12,571199122,video,115659,3.39%,1.89%
2990,6c47e090-2cb2-4115-ae90-a133d2536d53,1021797487,video,296037,12.57%,1.85%
2991,6c7dac58-d5eb-44e6-93d5-9ff5fa08627d,269973614,video,183084,3.97%,0.44%
2993,6c9433b1-b8de-4b7f-b8ce-4a402ae92159,2228711862,video,122918,10.67%,1.04%
2995,6cda563b-7874-4729-bd53-46b99b3bc400,192541850,video,127293,4.91%,0.62%
2997,6d1697e7-f433-4591-aadf-68e29d6f0ba6,268602484,video,132205,42.24%,5.33%
2999,6d4c9ca5-1b32-48ce-b24a-5f30c9b18400,5581983090,video,269554,6.81%,0.56%
3001,6d61ef4c-6f7a-4611-9c3e-0f3ad757bf95,183787245,video,194508,2.36%,0.49%
3005,6fde1ed3-9293-4834-a49b-7fbd2d41775c,247754364,video,126287,20.94%,1.06%
3007,7050548f-062e-4850-ba2f-b8bf240b77f5,415943478,video,130304,47.96%,1.76%
3009,70a37d92-f763-42bb-9f06-aa411f1f1582,256492814,video,204679,5.10%,0.82%
3011,710ad090-50c6-4f19-8ff3-159f4262bcc1,345828394,video,156701,33.04%,6.23%
3012,7150807c-192e-4998-9b99-ecd3c4970ba2,395410296,video,219796,42.93%,6.05%
3015,7151f21e-4168-4635-8da0-196b0e7c2ec1,10538728,video,134376,6.35%,1.81%
3017,71a3a4ad-10e6-4bdd-aba3-af4fb6848e88,350856261,video,216766,0.64%,0.05%
3020,72129a28-067b-4806-a857-7d3d1dbd7413,4793688551,video,201412,4.18%,0.81%
3022,72451918-d49d-45bb-9835-97a749f95a35,368356990,video,117811,64.76%,4.28%
3024,72a8872b-6ecc-4368-a688-d60da5c65952,1144016755,video,268134,9.39%,1.26%
3026,73105e0b-abdf-4c6b-a919-12409a76a50b,406666169,video,103559,7.72%,2.91%
3028,7341dae5-2af3-495a-803f-f3b521068917,194387269,video,253490,22.63%,3.04%
3030,7341e442-948a-4915-95bc-05ef39974b99,1057299564,video,165983,47.09%,4.01%
3032,737ac5df-e615-4012-a7e8-1c450f5d4023,249730769,video,223331,2.16%,0.20%
3034,744cec2a-77f3-4553-a3c3-290ba79314fa,2442933758,video,201697,43.30%,3.44%
3036,747c5663-a1dd-4eae-afce-86d1cc5f59e0,269527315,video,118568,45.83%,4.53%
3039,74f4338f-e625-40e3-8cf1-4f57b7149edd,1272512000,video,174913,4.67%,1.06%
3042,75b12f41-27d0-4750-bebf-9122915e7b62,2020331124,video,105272,8.40%,1.41%
3044,75b74f15-89fe-454d-a07a-21bafe140d8b,264708660,video,115279,16.98%,1.52%
3046,75cc922d-7839-458b-8369-6f4427b3b186,1077327539,video,172630,12.05%,0.64%
3048,75fafe66-01e9-42a0-915d-05552b4907b7,283298053,video,125794,8.78%,1.12%
3050,76941a14-fe25-4c73-b61f-ecc3f3cf046a,46660461,video,103887,5.13%,0.56%
3052,76b31133-6e00-4d6d-bb40-0b0cd4ecefb4,1536659519,video,161857,122.87%,8.25%
3053,76e296bd-1c48-49b9-b1b7-ca40158a9dd6,49458186,video,127638,0.88%,0.32%
3057,77b7976c-7bb5-4c18-b6d8-89731eae1ae4,289532249,video,197241,24.16%,1.14%
3059,78141b89-d0f0-49d8-bc3e-40a508d648af,649771355,video,224657,13.41%,0.42%
3061,787ca274-9b7d-4ebe-854e-c5ad7eab2565,178284392,video,170934,2.13%,0.34%
3063,78d7e7f4-40b6-4485-8436-73e41d305a2c,232537898,video,179436,19.77%,2.76%
3066,7a0a1d65-d81c-433a-8c57-b8cbcacf5bbc,345836526,video,144480,13.86%,1.42%
3068,7abac334-dd36-4a73-a45a-69c4f0ffac67,201454341,video,285725,16.87%,1.51%
3070,7af6777c-4ffd-4251-a4a5-d492ee17132e,245103669,video,148636,7.90%,2.03%
3072,7b145328-791f-40de-9d66-9f4bfc4a883f,232982161,video,126256,22.16%,4.86%
3074,7b482d16-5158-45a5-ae51-2c875dec7f5e,474830346,video,123592,62.07%,4.35%
3076,7b5cd544-e198-4b2d-9f46-a3c34efd986d,34390975,video,192355,6.77%,0.35%
3078,7c1a48f4-80a0-4087-b63a-767ba0b086b8,1218575791,video,102433,28.33%,5.21%
3080,7c332481-eccf-4104-8947-2d9540057838,435190841,video,218314,42.90%,3.30%
3082,7cebc5c4-2fda-4b96-8c05-26c3d7391607,1.78414E+16,video,165393,3.72%,0.24%
3084,7d258912-628e-472c-a21d-c355538cdc01,259823136,video,124930,64.90%,1.50%
3086,7d582df1-c99b-446a-a618-fe07ec940e83,289585970,video,189466,3.26%,1.06%
3088,7d88f694-f82d-4c1d-8d5c-7caadf4986b6,304242603,video,125784,3.77%,0.51%
3090,7e186b8a-82f0-406b-ae10-44aa751afb9b,212608069,video,151439,14.90%,1.72%
3092,7e77da70-9201-4612-898f-7ff9285afcdc,483341128,video,177612,5.33%,0.65%
3094,7e801527-1c59-4245-9e55-a70c292fb623,1008001473,video,292717,7.11%,1.01%
3096,7e9a3229-a709-4900-b642-b87306b1e1d9,1466722201,video,140927,27.56%,2.39%
3098,8029b970-221b-425a-a549-085efde74217,25844844,video,100894,17.02%,4.28%
3100,80547ebe-2a81-456e-86fe-9ca623d167b8,1680628461,video,113756,0.88%,0.07%
3102,808040e5-d61c-4a3c-8867-ec534e467a60,1466465059,video,183963,68.54%,8.38%
3104,80e29029-3fb1-4b4b-9c56-8cbf1f2b02b2,538479689,video,188288,10.98%,2.68%
3107,81dff916-e04d-42d0-b2db-c76f34b3d95c,577621766,video,107939,6.77%,0.77%
3109,81f14127-7752-4ed7-9983-b22101f70e71,1412720055,video,173847,11.18%,0.66%
3112,834b8b4e-688d-41d9-9129-ce4afdee6b5b,1423383456,video,293508,2.56%,0.30%
3114,8358cf2f-a722-43d5-9b37-0d377b14825d,2233915183,video,123922,71.34%,2.58%
3116,838069ad-6c2d-4adc-a006-760ef09d0395,439838851,video,131044,38.83%,3.08%
3118,83f6162b-d74c-41f2-b263-e333f4a53519,1159981183,video,101682,6.19%,0.96%
3120,840a97ed-a177-4372-8d54-777a84ff5d2e,409023344,video,112853,40.88%,2.51%
3122,84da6afb-c8a3-4c09-8d40-f50b26089581,6927763507,video,123399,6.51%,0.00%
3125,85cc06ce-6119-4819-b556-6f1989fff25d,213404753,video,110668,8.22%,1.21%
3127,85cf1cdd-d9a8-4fbc-93a4-5ed7fc64ac61,1767382866,video,106964,67.01%,6.46%
3129,8612151e-9315-4c17-bf9d-bf3be9c94df0,3427156,video,152604,2.48%,0.24%
3131,86570f94-7b70-41d6-9ced-bf9cd0998cc9,2868561,video,122104,9.97%,0.97%
3133,8674ae87-1f12-472e-a67c-e799a895f4e5,199275217,video,245994,57.57%,1.21%
3135,868ad246-e35f-4ac2-9eb3-e1af0bd85d9e,613962323,video,153517,8.50%,0.63%
3137,878c6010-d4f7-40c4-a718-18d5dd09361d,1314323263,video,185241,196.47%,16.60%
3139,87f26799-3471-47a3-add9-9e33614691ce,182540180,video,213891,2.58%,0.57%
3141,88244b31-112f-4a12-8c63-894ebbad378f,21565736,video,101902,14.68%,2.28%
3143,885a4a49-b6b1-4c70-b97e-10b011238d12,1766358178,video,150276,74.38%,6.01%
3146,89030dc0-860f-45fa-a332-8c90230812bc,13443676,video,237249,15.02%,2.42%
3148,8935f239-c3d5-4a01-90bb-06d0002ef0d5,339522096,video,204229,3.93%,0.47%
3150,894e7537-a01d-466f-9c6e-9459bd242a31,217429592,video,153368,2.71%,0.30%
3152,894f4540-b332-4d93-b2c4-316af1c30234,20117033,video,297270,5.08%,0.84%
3154,89772738-8051-4aa6-ab92-9c3f83ac0381,190904598,video,102574,6.91%,1.34%
3156,897d1747-5272-4980-88c4-3f6a8055945e,5817487,video,164179,13.88%,1.39%
3158,898ec8ea-6175-493b-b643-2f20aeec0571,45945495,video,246468,3.98%,0.31%
3160,89a49bfa-3632-40cf-a0f5-f367bd09a255,277855688,video,164887,6.10%,1.17%
3162,89aacb1a-83d0-4536-8e84-8d6a8eb45f9b,187626844,video,114401,46.82%,2.15%
3163,89f65594-89bb-42e9-bcad-09cbe46dab50,1514866590,video,101880,77.11%,6.23%
3165,8a54b930-5ca7-4065-890c-bf0a46c633ce,183696051,video,282344,10.69%,1.30%
3166,8af50531-c6a2-4f79-985a-21791c22f330,638578658,video,129996,37.80%,0.17%
3169,8b2478de-e768-4f5a-9e4e-405a896ef2a9,5620638883,video,119327,62.05%,7.34%
3171,8b2a352e-f9b0-4a3b-9d59-01bf6e1f3a56,1229817990,video,135412,6.41%,0.85%
3173,8bce34ca-7b02-4ae6-9518-a203b214c70a,189953890,video,127068,11.28%,1.22%
3175,8c227a6d-4eb1-4de3-bef3-f5fd09709c15,1114619890,video,264622,15.90%,2.05%
3177,8c976b63-3311-4b5f-9d34-9b05ed22f15e,1326792390,video,111835,26.71%,3.30%
3179,8d731d27-a24b-4df0-ad5e-0aa27322fcc6,23234683,video,151808,71.57%,8.36%
3181,8dcb9cd2-e74f-4959-a440-b824ae019a0e,4089565193,video,161499,21.24%,3.33%
3184,8ec20ad2-7a12-48ff-92f1-09897c79e0f6,342902474,video,262143,1.03%,0.17%
3186,8ef0727b-fe29-44c1-b8ec-be15f4ea1863,276097225,video,162329,8.09%,2.20%
3188,8f06801c-8c1c-4343-83df-d98e30d46ca7,547728353,video,225351,4.29%,0.56%
3191,8f268799-67ed-4ca2-9723-984855b3e18c,2261444105,video,101189,110.34%,0.51%
3193,8f3f6f86-6c5d-4d26-bf60-206a4036fdba,364427777,video,291614,21.34%,1.31%
3195,8f73b4a8-af53-4d9a-9817-7c8d3f10ab3c,728706879,video,118414,7.83%,0.75%
3198,8fe8e797-e44e-4bb9-b726-ba3c96cd29ae,2357500958,video,133765,38.15%,2.20%
3200,9022b13a-00fb-4aab-9288-d8944e5d8949,687676156,video,161827,25.41%,1.25%
3202,903827b0-387c-4970-af19-b28ac44ce539,44872282,video,144317,10.35%,1.48%
3204,90ca4c55-c452-4daf-bf96-c52e1d653b37,1389218699,video,102318,17.80%,1.34%
3206,90f24d02-c051-482e-8ac0-2871ed3db068,4283826256,video,154747,23.63%,2.20%
3208,910da39c-84b7-4913-bd81-4df8994833ce,469179215,video,104280,5.09%,1.48%
3210,914f89de-8e6b-4f2e-b509-396072c6e08d,1668469419,video,178612,56.24%,5.02%
3213,92dfb1d7-04d6-4d33-9bad-e09914aeec66,27285822,video,174814,32.88%,3.42%
3215,93c334be-710c-49c9-86ca-a8c1497540c5,370304133,video,114283,36.44%,5.30%
3217,940f7cd5-95a9-4467-a3bd-c24bb4d362e2,1432656426,video,138065,32.51%,0.60%
3220,953d3767-1cc4-43be-8dfe-3f67efb24e47,290424178,video,278949,5.73%,0.18%
3222,96504c1d-05fc-465d-997a-4b97126eed57,52692699,video,115505,68.63%,2.14%
3224,96593762-3f31-452e-9228-43d9936b3cf7,20156505,video,135417,32.15%,2.24%
3226,972a7e4d-0d1c-495a-b707-24c13864fa4a,19229894,video,126854,32.02%,2.63%
3228,9794a19c-e33a-4d75-bbb9-871c444d1227,2115314098,video,173353,37.44%,2.83%
3230,97f3cd67-280d-4486-b973-0deffdd7db64,238283389,video,177154,4.06%,0.47%
3232,9890252e-8d1f-4e6e-b11d-ed2aefe71b2b,7987829,video,193210,9.66%,2.25%
3235,98b8cecd-8251-4d11-b6a4-b07187342371,236494390,video,132742,74.84%,6.37%
3237,99157fc8-8cc6-4002-b021-c914df516f18,352596773,video,131547,11.56%,1.01%
3239,992a9ab8-63f8-496b-a441-1af459126026,1428952587,video,110662,3.63%,0.29%
3241,99646358-8797-441e-8e64-56daa3d563cd,997825783,video,119140,7.31%,1.09%
3242,998b741b-cc09-445f-8219-48706671a64b,246699604,video,187997,28.85%,3.92%
3244,99f9ff4b-3951-4f2b-ab67-7426e88c6900,310700819,video,122308,6.99%,1.51%
3246,99fc6d91-38a8-4cc5-ad1d-4888e278a096,2038899892,video,122075,8.58%,0.64%
3248,9a54a5e0-ab7e-43a6-9c01-41f3c4b40474,185582631,video,163536,20.48%,2.25%
3253,9b291c7d-f0e9-4b79-9cf8-897880944535,310058980,video,100111,3.84%,1.22%
3255,9b887fa9-3189-4397-bd0e-441f7aa63401,272388503,video,114857,15.35%,0.64%
3257,9be8f252-6d9d-43ad-8a16-bde83f547f9f,353415325,video,100608,17.48%,3.65%
3258,9c3e0428-98e8-4165-854a-7b17bf35a8fc,537561019,video,126180,3.55%,0.91%
3260,9c8c04ef-f689-4edd-83e2-83e35d7dc721,346300311,video,135274,2.82%,0.42%
3262,9ca8701d-e6e3-4582-bd5e-2edcc829cf9b,1178780979,video,209341,21.13%,1.60%
3264,9d04a5d4-f9e3-45e4-a3f9-b881ee1f41a0,2537492881,video,128894,36.59%,1.58%
3266,9e0569ad-7ec5-44db-a397-798970af2f21,2127298677,video,129203,17.59%,2.07%
3267,9e5120c6-fbbf-45c2-83c6-9ab62fc03ddf,1498093228,video,229572,85.54%,0.12%
3269,9f57ce60-6986-43a4-a229-8a600cc36233,54573371,video,109222,4.85%,1.05%
3271,9f96dda8-b016-4dbe-899b-868eaee76f3f,1919705722,video,204033,29.77%,4.12%
3273,9fa6f54e-4423-4ef7-927e-5c5a9517e61b,5558234336,video,147280,48.65%,10.23%
3276,a018d7bb-e9c6-4d5d-a200-216faca7aae5,2284713099,video,202856,5.39%,1.07%
3278,a0b36a1e-cf16-4a87-822c-eb0872fd4405,23149306,video,107622,8.37%,0.99%
3280,a0cff103-3431-4753-85db-0fa3166a3fa0,333506146,video,145045,17.21%,1.80%
3282,a0f70924-acee-4258-a02d-a6251a9a4c5d,208835078,video,150271,5.40%,0.37%
3284,a11d30b6-f6a4-4d4a-aded-2cba4a8d8fd2,266415988,video,115200,54.70%,3.96%
3286,a16885dc-a644-495c-8176-a1f6af061329,200813404,video,117818,1.49%,0.07%
3288,a20b44a2-5a42-4b25-ae9a-66858b6a795c,1581980101,video,123397,26.48%,3.72%
3290,a239de6b-6652-407e-83c8-2b672cfcfcae,362337818,video,112556,10.68%,0.84%
3292,a23fff02-db4a-4fec-98fb-cd7bd45d1e59,4019653935,video,123534,5.67%,0.44%
3294,a255c40b-0fbe-4de3-8bb4-e684e9315443,511987564,video,101979,3.34%,0.48%
3296,a371c493-516c-48f7-8b80-c784a1d650b5,205631377,video,219252,25.07%,2.25%
3298,a3842838-e838-4f04-8472-7fc935ab35b1,606046143,video,174099,32.32%,2.12%
3299,a38f1719-7678-4045-ac3a-a8c6854f5a89,218269189,video,110490,7.94%,0.90%
