,talentId,platformId,type,followers,Avg View Through Rate,Avg Engagement Rate
379,10822570-395c-41bc-9c18-ec6e7d45f907,261705558,video,54331,2.59%,0.28%
381,10f3ecef-b5bd-4ab0-9086-2753712408a9,280799640,video,68577,11.85%,0.22%
382,10f522ba-b337-4391-b1fd-84c20c3049dc,486795112,video,88919,3.07%,0.48%
384,11375e1c-a4fc-4fff-9225-a21a20b32c15,1528293448,video,54914,14.57%,1.28%
387,11a3ab98-d543-43fd-9f1f-fecfad484c3d,3156163321,video,96392,18.31%,1.63%
389,11b624c4-0cce-469e-a26d-1febb9dd6d53,242873922,video,70888,5.15%,0.88%
391,11dc49e2-fce2-4f20-9749-33a7a8772bf6,3412690037,video,72714,4.81%,0.68%
393,129dc029-8855-4f65-9cb1-15e6840bb2b1,1400851095,video,31594,28.89%,2.50%
394,12bd5a9d-3a26-4d49-af21-7a8bd845d682,511672683,video,42195,71.59%,9.60%
396,12f2fd25-3274-48b3-8150-9b7587e29262,1984246486,video,32329,15.68%,1.05%
398,13084906-0507-4582-a443-9d0ed0fe13f9,292135433,video,59446,4.77%,0.46%
400,135cec46-a007-484c-941a-1c904e9a5677,190643280,video,84201,257.94%,16.47%
403,1451acad-18a4-4b3a-8848-69e4dab13f4d,2304994063,video,94992,9.95%,2.13%
405,14520a7e-7650-43cb-b925-ba09527af700,1512355381,video,42932,12.26%,0.90%
407,14558957-2120-4e1a-9a50-bc200572c60c,244868604,video,83296,6.30%,0.84%
410,14d261b8-1287-46c0-a7ce-56f6529670b9,1386150391,video,28975,42.17%,1.78%
412,1540b58f-58b9-43da-85c7-a48618bd22ea,47253967,video,69953,26.35%,1.45%
415,1576ed36-ea0e-4e70-809f-51f820cb1c85,364924365,video,51667,31.02%,5.36%
417,158e6c48-5c2e-48a2-b14e-180810c255bb,907650561,video,96190,6.09%,0.37%
419,15abe04c-a2e1-45d3-846e-121361622412,179854109,video,49083,55.32%,10.17%
422,163068c0-de70-4cff-830b-5365825177a7,208415461,video,30954,264.26%,5.63%
423,163dd796-85e1-420b-9311-3cb134ebdd8e,271922964,video,58319,18.17%,4.37%
425,16aaf4ae-9b39-4b5d-8430-7a635e71bb88,180464333,video,39954,3.47%,1.26%
427,16cc26b7-a862-4ed5-8d6d-c71c688933a9,370159298,video,89295,7.66%,0.77%
428,170c5c48-eed2-4200-8b3d-426e9c84f5c5,2138126093,video,70966,29.59%,1.19%
430,17470d83-1bc2-4b80-a97b-ee2e46d7ba22,294269527,video,59602,24.27%,3.06%
432,176b378c-02ba-44de-b56e-6e23267df3aa,2543357153,video,45399,6.46%,2.13%
434,1789de68-c0b0-41ca-9ebf-b4e27415909f,231437247,video,34700,24.82%,7.51%
437,184ca306-63db-486e-bcdb-ca2e764e735a,709794236,video,61194,5.08%,0.56%
439,1853aeaa-96bd-4838-9367-5d037a889d02,3664096534,video,65641,17.96%,2.18%
440,186bf6d4-4357-4f0c-818c-4ed7af1d7a04,222108680,video,28044,8.47%,1.66%
442,18704072-d93c-4e2a-ad5b-6f5ca8b97cf3,2078401768,video,77021,14.23%,0.92%
444,18ae458c-ce9a-42ee-80e0-4e8e6e80ae90,229419056,video,71374,68.99%,1.40%
